,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,mse_liq_density,mapd_liq_density,mae_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens
0,0.20399489304712093,0.15588459773360197,0.0,0.3436572084730172,0.5379517145886181,0.06958553280989263,0.0,0.9074940173633292,71.10129002962995,0.6943354273244223,7.201416600352059,42.218379829,16.380748456629295,6.43758
1,0.20416762140009193,0.2438689952379759,0.0,0.28961148064878267,0.10020142058620242,0.04302101568498978,0.0,1.0945294583887863,93.2458924966252,0.7826702040562986,8.173093901111406,373.26151463750006,48.95112650158941,19.304970000000004
2,0.21988109894507593,0.16214813979694578,0.0,0.3394834896324487,0.34604489109176967,0.0792542961648662,0.0,0.8673084273172628,100.74157405586416,0.8216656491121324,8.496646960356452,76.96586082800002,22.10377384932732,8.66718
3,0.2341117766662888,0.18688867584052266,0.0,0.3386033545022974,0.6040039943449022,0.07932366783344157,0.0,1.0300195939300352,43.39632718718362,0.530792271885637,5.542442169616516,2.0991745629999996,3.1659303197072766,1.2552599999999998
4,0.2349007995038536,0.23947461085783442,0.0,0.3135876909962904,0.6141780127155992,0.039917324333548686,0.0,0.922127262694785,58.871299711877235,0.6210590211765417,6.4200781249999865,77.111364407,22.29413903166572,8.779079999999999
5,0.25266216646012923,0.1514451900752932,0.0,0.34735377804656853,0.4427005887865777,0.025909210260743217,0.0,1.113965717165511,63.20839746642878,0.6366426653645464,6.657407363226525,6.551688190000009,5.784983814533266,2.3126200000000026
6,0.2552630519873802,0.2676394809270083,0.0,0.28660754007443234,0.31460502691996534,0.07528180755615137,0.0,0.886315373303068,28.543585132504624,0.40536340023881934,4.238634149855647,198.177188033,35.654037615934065,14.04944
7,0.2572148767854348,0.2520275324516279,0.0,0.3089200075755568,0.4885031048405715,0.029144547954432568,0.0,0.7437300774855574,100.13136066249649,0.7496987705679294,7.730751039427946,162.4919554025,32.34173781603395,12.73635
8,0.2653108659391513,0.20877985199882443,0.0,0.3295238656238585,0.5131383810129855,0.049293675778304,0.0,0.6644432419840977,71.41126649451269,0.6939591999428383,7.24246752568497,34.80250161300002,14.617944818492651,5.717040000000002
9,0.27176672136921315,0.20750985761403926,0.0,0.3156421594458102,0.08580676856398627,0.04507670757196265,0.0,1.0390546579524247,84.54011563860873,0.7896338312363296,8.217922978269552,138.347964017,29.85209895332077,11.74118
10,0.2901216275949013,0.26168390124203944,0.0,0.2898916689349392,0.1611431747757977,0.06157278269547127,0.0,0.7733111281601776,42.61856550348055,0.52886792123979,5.52487295023393,232.973745264,38.69273974560956,15.25294
11,0.3023544320912335,0.17419323984256124,0.0,0.33454634129110417,0.20258826297365154,0.04710687713110789,0.0,1.051725396884889,40.651817336750604,0.5002848117222932,5.16591795313118,1.456901969500003,2.6406948518308218,1.0238100000000017
12,0.30883574663370345,0.28695575640366056,0.0,0.28341973375625185,0.34317411763459194,0.04766173302959011,0.0,1.007711017946914,9.938433751899309,0.28753168227960485,2.99404685098616,82.47238140549999,22.436332812354955,8.86803
13,0.3338582735263373,0.1969269793121598,0.0,0.3222292508841817,0.19631907925341105,0.017530562899294385,0.0,0.7532326716612463,45.89218336909909,0.5839292404431277,6.075016815539334,54.95852304350001,18.803050107752767,7.3907300000000005
14,0.3339669760753342,0.23812249766401017,0.0,0.3068236956286319,0.15648104942800545,0.06735238389575258,0.0,0.8214608833597928,53.26847045732667,0.5426140184333561,5.594392828805985,66.61051063549999,20.638811999365707,8.10797
15,0.3410844212615216,0.24294052071468697,0.0,0.3224863927491529,0.5730940677368177,0.07811347216652527,0.0,0.6346013215773223,7.183571762567522,0.21058077256626123,2.202936280565882,227.77242855000003,38.26591843357546,15.0835
16,0.37317628837453776,0.1567753466698341,0.0,0.32916618991561575,0.59585772536843,0.06336351248885735,0.0,0.8424715578646427,16.550485829594514,0.39062098496923947,4.056623236447604,736.3676889500001,68.72084094173819,27.1093
17,0.37319665140815195,0.18636934871091018,0.0,0.3163199069781441,0.2680024084510972,0.038363020891760705,0.0,0.6260537724796564,38.431822720323964,0.501770806162348,5.246177475298941,1.6081754555000032,2.719476995449923,1.0508099999999998
18,0.38186899362249216,0.1881217018606673,0.0,0.32015821202584893,0.493618391865787,0.047122666743991556,0.0,1.0803173544081521,16.585198576150333,0.38646275293212756,4.0093538873513355,806.5913037500001,72.04500467100152,28.390300000000003
19,0.383182234571219,0.2137394842634534,0.0,0.3238056603842437,0.6223116774324928,0.08248773464554228,0.0,1.0399971647731,74.3605973076707,0.811199342132716,8.4466098453197,1777.8398153500002,106.92116561123719,42.151300000000006
20,0.38698572881031534,0.16002865353910026,0.0,0.31048699641717775,0.19737783949403745,0.03351512348931504,0.0,1.0342447755456285,14.230245784162776,0.28328850147817514,2.9211164752848844,2.578008224000004,2.7362887409373435,1.1006400000000014
21,0.38831611733485316,0.1600395520717175,0.0,0.3103334373307062,0.19567655595659234,0.06648808753801654,0.0,0.8595454916882399,31.58031480470863,0.4531135918854945,4.7378928233393705,0.8590507350000008,1.7746121547539442,0.7067000000000008
22,0.394132367178895,0.2541157719244544,0.0,0.2990078648641388,0.47950480615832847,0.0509512952052715,0.0,0.7048401523586539,61.01188166070058,0.7507899285569145,7.797845434091959,332.27574755000006,46.237138360011734,18.210500000000003
23,0.396579783077907,0.16157059503440116,0.0,0.3055484119935576,0.3574250122732171,0.025788829392197926,0.0,0.9672695555519355,22.20393006237957,0.4498274421528636,4.679641739007456,101.01392864750005,25.451183762674752,10.037830000000003
24,0.3973989633961184,0.1957760928143349,0.0,0.3126812145143297,0.5402209622088321,0.07698586042162958,0.0,0.9183278566903585,2.2868631303060125,0.11521522449430824,1.1890002114389062,1013.4319578000002,80.73861030635369,31.827200000000005
