,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,mse,mapd
0,0.3285418388960052,0.27297261672756945,0.0,0.296416016269314,0.5197020061965699,0.06019982800835183,0.0,1.1065634745858923,19.877892828129493,0.546243109351806
1,0.3647024688055693,0.25981005661695294,0.0,0.30485441409710773,0.6179214586029165,0.03611843461037399,0.0,1.1214084939693634,23.503391789853982,0.5339158974192564
2,0.37183879354115057,0.1889340283202977,0.0,0.32053473840096186,0.5293006245992637,0.029881639849324494,0.0,1.0816869434146257,86.18982975681715,0.9807941977476766
3,0.3745199660609325,0.2608869488959461,0.0,0.28659363340074057,0.4743030180167497,0.041907767744904297,0.0,1.109252001483474,26.889848973555594,0.44085338984061134
4,0.37488514239114024,0.17800584103926068,0.0,0.32293529126546605,0.5821948026404882,0.04022152377997722,0.0,1.0666051202728541,28.62115015762647,0.4945679522895318
5,0.3755876965620597,0.2299383958472192,0.0,0.31068627536467874,0.47371201149852266,0.07120025723117586,0.0,0.857744311030121,22.324573523846887,0.6067512319374206
6,0.3765318923788151,0.15193877318185198,0.0,0.3243550747756767,0.6044405056491076,0.0651185697165025,0.0,1.0845499833604033,22.556902454850338,0.5175388119266129
7,0.3772671207422644,0.18467819579852912,0.0,0.3230990706933719,0.5745961771229269,0.06993803100792528,0.0,0.9791694590924629,5.166361939398457,0.25336320919018807
8,0.3798027985316317,0.18232788201250238,0.0,0.31337089052981615,0.5561207575842712,0.051811522809408775,0.0,0.8888897327776768,16.90228087790558,0.46742148696351693
9,0.38116971217040574,0.23872376144987376,0.0,0.2907951836393932,0.4018299469152519,0.05077360192197511,0.0,0.9239916840898628,8.894601227480784,0.31096920279703444
10,0.38255780805604067,0.2375072708772721,0.0,0.3003932152234731,0.46575548548953577,0.06977766387153678,0.0,1.043049934799738,51.57027026411555,0.7599334288085536
11,0.38264588893045304,0.2789926549134739,0.0,0.26788282043405176,0.6101639252656035,0.028872678724791163,0.0,1.0555178794656888,95.7632778275842,1.1953911347592023
12,0.38460286576071256,0.21780326063829855,0.0,0.29836087849792076,0.34620647781023506,0.05918800606149793,0.0,1.1217895946124783,15.895538808100941,0.4578099642513743
13,0.3846764470127809,0.15036092407853058,0.0,0.2950294725312258,0.6042961662244302,0.023919726474109282,0.0,0.8275970951097026,56.46800195005395,0.926322210545327
14,0.3882343230880755,0.21384739238069372,0.0,0.2903281583957892,0.5071930148193462,0.04735797480688336,0.0,0.7595719493612059,91.35122230640535,1.1513415117142247
15,0.38840492484953804,0.17052313169188435,0.0,0.3111639149086802,0.5350964099065177,0.0798617622105955,0.0,1.0264813391880325,10.99276753324315,0.3309668963165046
16,0.38869251367020596,0.16627096784944503,0.0,0.2856648369051079,0.5500068067784385,0.02629373254094198,0.0,0.8307000716041073,85.72169241208692,1.1430402224290739
17,0.3887635137639257,0.1772912100305822,0.0,0.2930776483962904,0.3457169984169953,0.06051044215514775,0.0,0.9653398738632031,79.34710481803333,0.9788942666246511
18,0.38949386120229756,0.19908183117509404,0.0,0.2913665764416338,0.4429980582507011,0.04628788499153403,0.0,0.9470250704618928,21.89746905896252,0.570302989551912
19,0.39101686112516454,0.15355155735798878,0.0,0.302636486642188,0.6198566533125872,0.07376025490108735,0.0,0.772991825896815,22.519102521309655,0.5147206861540118
20,0.3913419216616464,0.22410102230155832,0.0,0.2785961642987411,0.44546352203414996,0.03304764418100316,0.0,0.8756033257938469,47.0901350473549,0.7242736131579137
21,0.3926766861912836,0.23748312642077707,0.0,0.2695757125079928,0.3617791235231968,0.0484001973518349,0.0,1.1126669459770495,53.5868050196403,0.711705294435825
22,0.3941849095376194,0.20064435807776426,0.0,0.29158870057560304,0.48540553175764745,0.04127105951009897,0.0,1.0923083911048428,51.38657808560494,0.8298092105783429
23,0.39763463076340433,0.15866924398004792,0.0,0.27740028407242084,0.4146532212042012,0.08095613637350806,0.0,0.7480268763420815,69.88695251671581,0.786852526599347
