molecule,mapd_liq_density,mapd_surf_tens,Type
EG,0.7193725967264497,4.037398182916209,Opt_All
Gly,0.816918309374701,17.31416945024652,Opt_All
MeOH,15.549227781931,68.83530507178419,Opt_All
EG,,,Opt_One
Gly,,,Opt_One
MeOH,,,Opt_One
EG,0.45413740798069613,0.663309150684537,Literature
Gly,0.3892395622412552,1.3315378979354437,Literature
MeOH,1.1850378600599047,7.52682645514623,Literature
EG,0.27280386891750585,19.69040602864664,GAFF
Gly,0.5069037052431999,232.12122783234827,GAFF
MeOH,1.6095265977893058,13.507460179720715,GAFF
